GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,TotalVotes,BBB,Average_House_Price,Average_Income,Population_Density,Population_Increase
Someren,G0847,K18,P30,12630,1294,318.0,24.6,246,41
Son en Breugel,G0848,K18,P30,11284,409,400.3,29.7,685,-23
Steenbergen,G0851,K17,P30,14487,917,250.8,25.4,166,-58
Waterland,G0852,K11,P27,11786,751,424.2,30.1,334,-46
Tilburg,G0855,K17,P30,118125,2430,265.3,23.6,1783,27
Valkenswaard,G0858,K18,P30,19674,831,302.2,26.1,569,-119
Veldhoven,G0861,K18,P30,27354,773,351.7,28.3,1446,-62
Vught,G0865,K18,P30,20271,596,449.6,31.5,530,-86
Waalre,G0866,K18,P30,11153,252,434.3,32.9,788,-39
Waalwijk,G0867,K17,P30,28522,1011,289.6,25.1,765,-43
Woensdrecht,G0873,K17,P30,12441,666,282.4,25.6,241,-69
Zundert,G0879,K17,P30,13873,1512,313.7,25.6,185,-74
Wormerland,G0880,K11,P27,10749,563,349.7,27.2,425,-31
Landgraaf,G0882,K19,P31,21806,609,208.8,23.6,1506,-174
Beek,G0888,K19,P31,10222,323,231.4,26.4,751,-59
Beesel,G0889,K19,P31,8106,385,233.4,23.4,481,-14
Bergen (L),G0893,K19,P31,8273,715,240.0,23.7,127,-48
Brunssum,G0899,K19,P31,15588,456,174.2,22.5,1605,-187
Gennep,G0907,K19,P31,10910,603,270.2,23.8,362,-74
Heerlen,G0917,K19,P31,44987,946,182.3,22.6,1934,-490
Kerkrade,G0928,K19,P31,23032,577,181.7,21.9,2069,-311
Maastricht,G0935,K19,P31,63185,1015,283.5,24.2,2172,-508
Meerssen,G0938,K19,P31,12082,406,300.2,28.3,695,-114
Mook en Middelaar,G0944,K19,P31,5710,174,339.0,30.0,459,-6
Nederweert,G0946,K19,P31,11014,1142,283.7,24.7,173,-21
Roermond,G0957,K19,P31,31851,920,251.2,24.3,976,-71
Simpelveld,G0965,K19,P31,6431,413,227.4,24.7,650,-39
Stein,G0971,K19,P31,16041,524,236.2,25.1,1186,-146
Vaals,G0981,K19,P31,4277,272,228.7,23.5,424,-92
Venlo,G0983,K19,P31,55290,1439,245.6,23.2,823,-154
Venray,G0984,K19,P31,26052,2182,258.4,24.5,269,-55
Voerendaal,G0986,K19,P31,8235,410,274.7,27.1,394,-46
Weert,G0988,K19,P31,29948,1323,275.5,24.9,483,-133
